ID расположения;ID станции;Флаг загруженного вагона;Количество вагонов;Тип вагога;Период;Время ожидания
1;240000;0;1;1;1;5
2;240000;0;1;1;1;6
3;240000;0;1;1;1;8
4;240000;0;1;1;1;21
5;240000;0;1;1;1;23
6;240000;0;1;1;6;0
7;240000;0;2;1;1;22
8;240000;0;3;1;1;7
9;240000;0;5;1;1;4
10;240000;1;2;1;1;1
11;242306;1;1;1;1;0
12;243607;0;1;1;1;3
13;243607;0;1;1;1;8
14;243607;0;1;1;1;9
15;243607;0;2;1;1;12
16;243607;0;2;1;1;19
17;243607;0;3;1;1;2
18;243607;0;3;1;1;15
19;243607;0;4;1;1;19
20;243607;0;7;1;1;16
21;243607;0;32;1;1;6
22;243607;1;1;1;1;0
23;243607;1;1;1;2;0
24;243607;1;2;1;1;3
25;243607;1;4;1;3;0
26;243607;1;32;1;3;0
27;244208;0;1;1;1;4
28;244208;0;1;1;1;22
29;244208;0;1;1;1;28
30;247206;0;1;1;1;17
31;247206;0;2;1;1;16
32;247206;0;10;1;1;2
33;247206;1;38;1;1;2
34;247206;1;48;1;1;0
35;248504;1;1;1;1;0
36;248504;1;1;1;2;0
37;248504;1;1;1;7;0
38;248504;1;2;1;3;0
39;248504;1;10;1;1;2
40;249004;1;1;1;2;0
41;250001;0;1;1;1;6
42;250001;1;24;1;1;0
43;250209;0;1;1;1;3
44;250209;1;1;1;1;1
45;250209;1;1;1;7;0
46;250707;0;1;1;1;2
47;250707;0;1;1;1;6
48;250707;1;2;1;1;2
49;251004;0;1;1;1;2
50;251004;1;1;1;1;0
51;251004;1;8;1;1;2
52;251004;1;10;1;3;0
53;253103;1;1;1;2;0
54;253103;1;2;1;1;0
55;254002;1;1;1;1;1
56;254708;1;1;1;1;2
57;255409;0;1;1;1;2
58;255503;1;1;1;1;0
59;255503;1;1;1;6;0
60;255607;1;1;1;1;1
61;255804;0;6;1;1;6
62;256703;0;1;1;1;10
63;257301;0;3;1;1;7
64;257602;0;1;1;1;3
65;258107;1;1;1;1;1
66;259006;0;1;1;1;8
67;259006;0;1;1;1;20
68;259006;0;5;1;1;3
69;260003;0;1;1;4;0
70;260107;0;1;1;1;5
71;260107;0;15;1;1;2
72;260107;1;1;1;1;2
73;260107;1;1;1;8;0
74;260107;1;5;1;3;0
75;261203;1;1;1;3;0
76;261203;1;2;1;6;0
77;261307;1;1;1;3;0
78;262704;1;2;1;1;2
79;264907;1;1;1;1;0
80;264907;1;1;1;4;0
81;270005;0;1;1;1;11
82;270306;0;1;1;1;10
83;270306;0;1;1;1;13
84;270306;1;1;1;3;0
85;270804;0;1;1;1;9
86;270804;0;1;1;1;15
87;271205;0;1;1;1;3
88;271205;0;1;1;1;4
89;271205;0;1;1;1;5
90;271205;0;3;1;1;0
91;271309;1;3;1;2;0
92;272903;0;2;1;1;4
93;272903;0;2;1;1;13
94;273107;0;2;1;1;0
95;273605;0;1;1;1;4
96;273605;0;1;1;1;5
97;273605;0;1;1;1;9
98;273605;0;1;1;1;13
99;273605;0;2;1;1;1
100;273605;0;2;1;1;10
101;273605;0;2;1;1;16
102;273605;0;3;1;1;2
103;273605;0;7;1;1;0
104;273605;1;1;1;1;0
105;273605;1;1;1;1;1
106;274006;0;1;1;1;2
107;274006;0;1;1;1;3
108;274006;0;1;1;1;38
109;274307;0;5;1;1;5
110;274608;0;1;1;1;10
111;274608;0;1;1;1;16
112;274608;0;2;1;1;6
113;274608;0;3;1;1;0
114;274608;0;6;1;1;2
115;274608;0;6;1;1;5
116;275704;1;1;1;3;0
117;277409;0;1;1;1;0
118;830003;0;1;1;1;2
119;830003;0;1;1;1;4
120;830003;0;1;1;1;18
121;830003;0;1;1;1;22
122;830003;0;1;1;1;28
123;830003;0;1;1;1;59
124;830003;0;1;1;1;89
125;830200;0;1;1;1;65
126;830304;1;8;1;1;1
127;830304;1;11;1;1;0
128;830304;1;13;1;3;0
129;831203;1;1;1;1;0
130;831400;0;1;1;1;6
131;831400;0;1;1;1;7
132;831400;0;1;1;1;11
133;831400;0;2;1;1;0
134;831400;0;3;1;1;2
135;831400;0;4;1;1;14
136;831400;1;1;1;3;0
137;831400;1;7;1;1;1
138;831400;1;26;1;1;0
139;831400;1;60;1;1;1
140;831400;1;116;1;1;0
141;831504;1;10;1;1;0
142;831504;1;58;1;1;0
143;831608;0;1;1;1;5
144;831608;0;1;1;1;8
145;831608;0;1;1;1;12
146;831608;1;6;1;2;0
147;831805;1;12;1;1;0
148;832808;1;7;1;2;0
149;833302;1;2;1;1;0
150;833603;0;1;1;1;3
151;833603;0;1;1;1;4
152;833603;0;1;1;3;0
153;833603;0;3;1;1;1
154;833603;0;4;1;1;33
155;833603;0;7;1;1;2
156;833603;0;8;1;1;0
157;833603;0;8;1;2;0
158;833603;0;13;1;3;0
159;836103;0;1;1;1;10
160;836103;0;2;1;2;0
161;836601;0;2;1;2;0
162;840005;0;1;1;1;0
163;840005;0;1;1;1;2
164;840109;0;1;1;1;5
165;840109;0;1;1;1;10
166;840109;0;2;1;1;8
167;840109;0;3;1;1;4
168;840109;0;5;1;1;2
169;840109;1;1;1;1;0
170;840109;1;1;1;4;0
171;840109;1;2;1;2;0
172;841402;0;2;1;1;2
173;843200;0;1;1;1;4
174;843200;0;1;1;1;17
175;843200;0;1;1;1;22
176;843200;0;2;1;1;2
177;843200;0;2;1;1;8
178;843200;1;1;1;1;2
179;843408;0;1;1;1;0
180;843408;0;1;1;1;5
181;843408;0;1;1;1;11
182;843408;0;1;1;1;12
183;843408;0;1;1;1;25
184;843408;0;1;1;1;26
185;843408;0;1;1;1;28
186;843408;0;1;1;2;0
187;843408;0;1;1;5;0
188;843408;0;1;1;9;0
189;843408;0;2;1;1;4
190;843408;0;2;1;1;7
191;843408;0;2;1;1;13
192;843408;0;2;1;1;24
193;843408;0;3;1;1;26
194;843408;0;4;1;1;3
195;843408;0;8;1;1;2
196;843408;1;1;1;1;0
197;843408;1;1;1;1;2
198;843408;1;1;1;2;0
199;844701;1;3;1;2;0
200;845901;0;1;1;1;2
201;850007;0;1;1;1;8
202;850007;0;1;1;1;15
203;850007;0;2;1;1;1
204;850007;0;3;1;1;20
205;850204;0;1;1;1;2
206;850204;0;2;1;1;3
207;850204;0;8;1;1;6
208;850308;0;1;1;1;3
209;850308;0;3;1;1;2
210;850308;1;1;1;1;0
211;850308;1;1;1;1;3
